Time,Q1,Q2,T1,T2,TSP1,TSP2
3.302733962535858154e+02,4.934421898961083741e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.312553336620330811e+02,4.935276184506432884e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.322741546630859375e+02,4.936162558777348863e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.332482900619506836e+02,4.937010056574361272e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.342703516483306885e+02,4.937899250154512032e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.352440838813781738e+02,4.938746397197263605e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.362739908695220947e+02,4.939642416276949177e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.372547376155853271e+02,4.940495665946023962e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.382617356777191162e+02,4.941371754260080706e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.392545630931854248e+02,4.942235514111536077e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.402683541774749756e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.412517664432525635e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.422669785022735596e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.432530751228332520e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.442675538063049316e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.452488155364990234e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.462643508911132812e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.472557749748229980e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.482571659088134766e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.492559139728546143e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.502579107284545898e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.963419999999999277e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.512520689964294434e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.963419999999999277e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.522494540214538574e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.931189999999999429e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.532582225799560547e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.931189999999999429e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.542660462856292725e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.898959999999999582e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.552502226829528809e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.898959999999999582e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.563502116203308105e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.898959999999999582e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.574710674285888672e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.866729999999999734e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.585722420215606689e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.866729999999999734e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.595772442817687988e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.866729999999999734e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.605642800331115723e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.834499999999999886e+01,2.578399999999999892e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.615742421150207520e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.834499999999999886e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.625592415332794189e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.802269999999999328e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.635662779808044434e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.802269999999999328e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.645661211013793945e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.802269999999999328e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.655606718063354492e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.770039999999999480e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.665658895969390869e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.737809999999999633e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.676216776371002197e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.737809999999999633e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.686253345012664795e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.737809999999999633e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.696281495094299316e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.705579999999999785e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.706301374435424805e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.705579999999999785e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.716204538345336914e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.673349999999999937e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.727862577438354492e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.641119999999999379e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
3.737869260311126709e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.641119999999999379e+01,2.546169999999999689e+01,4.000000000000000000e+01,2.094949999999999690e+01
